Total de registros extraídos: 43

part_number|serial_number|process_name
LFTA-1106394-71-P|P1106394-71-P:SE4A25079000001|P1_FLASHING-TEST
LFTA-1106394-71-P|P1106394-71-P:SE4A25079000002|P1_FLASHING-TEST
LFTA-1106394-71-P|P1106394-71-P:SE4A25079000005|P1_FLASHING-TEST
LFTA-1106394-71-P|P1106394-71-P:SE4A25079000006|P1_FLASHING-TEST
LFTA-1106394-71-P|P1106394-71-P:SE4A25079000007|P1_FLASHING-TEST
LFTA-1106394-71-P|P1106394-71-P:SE4A25079000008|P1_FLASHING-TEST
LFTA-1106394-71-P|P1106394-71-P:SE4A25079000011|P1_FLASHING-TEST
LFTA-1106394-71-P|P1106394-71-P:SE4A25079000012|P1_FLASHING-TEST
LFTA-1106394-71-P|P1106394-71-P:SE4A25079000013|P1_FLASHING-TEST
LFTA-1106394-71-P|P1106394-71-P:SE4A25079000014|P1_FLASHING-TEST
LFTA-1106394-71-P|P1106394-71-P:SE4A25079000015|P1_FLASHING-TEST
LFTA-1106394-71-P|P1106394-71-P:SE4A25079000016|P1_FLASHING-TEST
LFTA-1106394-71-P|P1106394-71-P:SE4A25079000017|P1_FLASHING-TEST
LFTA-1106394-71-P|P1106394-71-P:SE4A25079000018|P1_FLASHING-TEST
LFTA-1106394-71-P|P1106394-71-P:SE4A25079000019|P1_FLASHING-TEST
LFTA-1106394-71-P|P1106394-71-P:SE4A25079000020|P1_FLASHING-TEST
LFTA-1106394-71-P|P1106394-71-P:SE4A25079000021|P1_FLASHING-TEST
LFTA-1106394-71-P|P1106394-71-P:SE4A25079000022|P1_FLASHING-TEST
LFTA-1106394-71-P|P1106394-71-P:SE4A25079000023|P1_FLASHING-TEST
LFTA-1106394-71-P|P1106394-71-P:SE4A25079000024|P1_FLASHING-TEST
LFTA-1106394-71-P|P1106394-71-P:SE4A25079000025|P1_FLASHING-TEST
LFTA-1106394-71-P|P1106394-71-P:SE4A25079000026|P1_FLASHING-TEST
LFTA-1106394-71-P|P1106394-71-P:SE4A25079000027|P1_FLASHING-TEST
LFTA-1106394-71-P|P1106394-71-P:SE4A25079000028|P1_FLASHING-TEST
LFTA-1106394-71-P|P1106394-71-P:SE4A25079000029|P1_FLASHING-TEST
LFTA-1106394-71-P|P1106394-71-P:SE4A25079000030|P1_FLASHING-TEST
LFTA-1106394-71-P|P1106394-71-P:SE4A25079000031|P1_FLASHING-TEST
LFTA-1106394-71-P|P1106394-71-P:SE4A25079000032|P1_FLASHING-TEST
LFTA-1106394-71-P|P1106394-71-P:SE4A25079000033|P1_FLASHING-TEST
LFTA-1106394-71-P|P1106394-71-P:SE4A25079000034|P1_FLASHING-TEST
LFTA-1106394-71-P|P1106394-71-P:SE4A25079000035|P1_FLASHING-TEST
LFTA-1106394-71-P|P1106394-71-P:SE4A25079000036|P1_FLASHING-TEST
LFTA-1106394-71-P|P1106394-71-P:SE4A25079000037|P1_FLASHING-TEST
LFTA-1106394-71-P|P1106394-71-P:SE4A25079000038|P1_FLASHING-TEST
LFTA-1106394-71-P|P1106394-71-P:SE4A25079000039|P1_FLASHING-TEST
LFTA-1106394-71-P|P1106394-71-P:SE4A25079000040|P1_FLASHING-TEST
LFTA-1106394-71-P|P1106394-71-P:SE4A25079000041|P1_FLASHING-TEST
LFTA-1106394-71-P|P1106394-71-P:SE4A25079000042|P1_FLASHING-TEST
LFTA-1106394-71-P|P1106394-71-P:SE4A25079000043|P1_FLASHING-TEST
LFTA-1106394-71-P|P1106394-71-P:SE4A25079000044|P1_FLASHING-TEST
LFTA-1106394-71-P|P1106394-71-P:SE4A25079000045|P1_FLASHING-TEST
LFTA-1106394-71-P|P1106394-71-P:SE4A25079000046|P1_FLASHING-TEST
LFTA-1106394-71-P|P1106394-71-P:SE4A25079000047|P1_FLASHING-TEST
